osm_id,code,fclass,population,name,objectid2,province,district,tehsil,lat,lng
58568637,1001,city,0,گلگت,207,GILGIT BALTISTAN,GILGIT,GILGIT,35.9208,74.314
58744442,1001,city,2098231,راولپنڈی,401,PUNJAB,RAWALPINDI,RAWALPINDI,33.5914,73.0535
58876734,1002,town,33697,لنڈی کوتل,165,FATA,KHYBER AGENCY,LANDI KOTAL,34.1005,71.1469
60907763,1001,city,2027001,گوجرانوالہ,326,PUNJAB,GUJRANWALA,GUJRANWALA CITY,32.1525,74.1934
66298767,1001,city,190425,جہلم,340,PUNJAB,JHELUM,JHELUM,32.9247,73.7194
66319295,1002,town,0,گکھڑ منڈی,329,PUNJAB,GUJRANWALA,WAZIRABAD,32.3042,74.1465
66331528,1001,city,90131,گوجر خان,396,PUNJAB,RAWALPINDI,GUJAR KHAN,33.2543,73.3066
66343643,1050,locality,0,Chaklala Scheme 3,401,PUNJAB,RAWALPINDI,RAWALPINDI,33.5858,73.0887
66344252,1010,suburb,0,جی-6,197,FEDERAL CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD,33.7154,73.0856
66344722,1010,suburb,0,جی-7,197,FEDERAL CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD,33.7066,73.069
66345055,1010,suburb,0,جی-8,197,FEDERAL CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD,33.6967,73.0509
66345710,1010,suburb,0,جی-10,197,FEDERAL CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD,33.6777,73.0187
66346140,1010,suburb,0,جی-11,197,FEDERAL CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD,33.6687,72.9987
66346679,1010,suburb,0,ایف-11,197,FEDERAL CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD,33.6844,72.9895
66347043,1010,suburb,0,ایف-10,197,FEDERAL CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD,33.6918,73.0067
66348263,1010,suburb,0,ایف-7,197,FEDERAL CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD,33.7204,73.0561
66348680,1010,suburb,0,ایف-6,197,FEDERAL CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD,33.7286,73.0735
66349814,1010,suburb,0,ای-9,197,FEDERAL CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD,33.7155,73.0201
67235921,1010,suburb,0,ایچ-8,197,FEDERAL CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD,33.6803,73.062
67236864,1010,suburb,0,ایچ-10,197,FEDERAL CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD,33.6625,73.0255
67237197,1010,suburb,0,ایچ-11,197,FEDERAL CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD,33.6544,73.0092
67238377,1010,suburb,0,آئ-9,197,FEDERAL CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD,33.6597,73.0544
67238871,1010,suburb,0,آئی-10,197,FEDERAL CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD,33.6482,73.0369
67239215,1010,suburb,0,آئ-11,197,FEDERAL CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD,33.6407,73.0207
81458885,1001,city,1001205,کوئٹہ,130,BALOCHISTAN,QUETTA,QUETTA CITY,30.1958,67.0172
81842063,1002,town,0,اڈیالہ,401,PUNJAB,RAWALPINDI,RAWALPINDI,33.4575,72.9956
81844596,1003,village,0,کھسالہ خورد,401,PUNJAB,RAWALPINDI,RAWALPINDI,33.4395,72.973
89293667,1001,city,263102,نوابشاہ,497,SINDH,SHAHEED BENAZIRABAD,NAWABSHAH,26.2453,68.404
89313928,1001,city,499900,سکھر,505,SINDH,SUKKUR,ROHRI,27.6962,68.8589
